,LocationID,Borough,Zone,service_zone,Address,Latitude,Longitude
0,1,EWR,Newark Airport,EWR,"Newark Airport, EWR",40.73566,-74.17237
1,2,Queens,Jamaica Bay,Boro Zone,"Jamaica Bay, Queens",40.6039936,-73.8354123
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"Allerton/Pelham Gardens, Bronx",40.861725,-73.8421487
3,4,Manhattan,Alphabet City,Yellow Zone,"Alphabet City, Manhattan",40.7251022,-73.9795832
4,5,Staten Island,Arden Heights,Boro Zone,"Arden Heights, Staten Island",40.5576295,-74.1886085
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"Arrochar/Fort Wadsworth, Staten Island",40.6027644,-74.0658523
6,7,Queens,Astoria,Boro Zone,"Astoria, Queens",40.7720145,-73.9302672
7,8,Queens,Astoria Park,Boro Zone,"Astoria Park, Queens",40.7788277,-73.9226264
8,9,Queens,Auburndale,Boro Zone,"Auburndale, Queens",40.755628,-73.7947469
9,10,Queens,Baisley Park,Boro Zone,"Baisley Park, Queens",40.65749,-73.83875
10,11,Brooklyn,Bath Beach,Boro Zone,"Bath Beach, Brooklyn",40.5963959,-73.9947198
11,12,Manhattan,Battery Park,Yellow Zone,"Battery Park, Manhattan",40.7029171,-74.0158007
